DM2_COMPLETE_ALLOCATION: BPEOF = 200d0040 changed by vptr
ALLOC MEM RAM: BPEOF = 200d0040 / amount 1024, wmask: 0280, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 128, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 128, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 41096, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 20548, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 20548, wmask: 0400, wtype = 0
ALLOC MEM RAM: BPEOF = 200caffc just changed.
DM2_DEALLOC_LOBIGPOOL: BPEOF = 200d0040 changed / amount 20548
ALLOC MEM RAM: BPEOF = 200d0040 / amount 112652, wmask: 0400, wtype = 2
ALLOC MEM RAM: BPEOF = 200d0040 / amount 18, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 12, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 14, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 13112, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 6, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 6, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 6, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 30, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 38, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 40, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 26, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 42, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 42, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 32, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 28, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 28, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 28, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 40, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 40, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 28, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 40, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 44, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 26, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 36, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 36, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 28, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 34, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 34, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 24, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 28, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 34, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 26, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 40, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 30, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 24, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 30, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 28, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 24, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 24, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 24, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 36, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 36, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 46, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 34, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 44, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 6, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 6, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 6, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 22, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 22, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 26, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 6, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 6, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 6, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 48, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 32, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 54, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 6, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 6, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 6, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 24, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 32, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 26, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 6, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 6, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 6, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 28, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 38, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 34, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 6, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 6, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 6, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 24, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 30, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 26, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 6, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 6, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 6, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 30, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 8, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 6, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 6, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 6, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 6, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 6, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 12, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 10, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 12134, wmask: 0400, wtype = 1
